Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Singh, P., Singhal, A., Fatimah, B., Gupta, A., Joshi, S.D.","57216534266;56363053400;35177377800;53872683100;56269886400;","Proper Definitions of Dirichlet Conditions and Convergence of Fourier Representations [Lecture Notes]",2022,"IEEE Signal Processing Magazine","39","5",,"77","84",,,"10.1109/MSP.2022.3172620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138449043&doi=10.1109%2fMSP.2022.3172620&partnerID=40&md5=b75b6cc9165146619704b162b9738b8d",Article,"Final","",Scopus,2-s2.0-85138449043
"Jha, M.K., Kumar, N., Rubini, P., Lakshmi, Y.V.S.","56943012600;56461554800;57444242700;23974591000;","NOMA VLC Systems and Neural Network Approach for Imperfect SIC",2022,"Journal of Communications","17","9",,"723","733",,3,"10.12720/jcm.17.9.723-733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136439015&doi=10.12720%2fjcm.17.9.723-733&partnerID=40&md5=3b60b1ee61e1931c390eb6fa34dbb427",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85136439015
"Fatimah, B., Singhal, A., Singh, P.","35177377800;56363053400;57216534266;","A multi-modal assessment of sleep stages using adaptive Fourier decomposition and machine learning",2022,"Computers in Biology and Medicine","148",,"105877","","",,7,"10.1016/j.compbiomed.2022.105877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134431881&doi=10.1016%2fj.compbiomed.2022.105877&partnerID=40&md5=b3655fb2a6d999d04f046ef93d567c2c",Article,"Final","",Scopus,2-s2.0-85134431881
"Devaraj, S., Madian, N., Suresh, S.","55905002600;55516660800;7103106157;","Mathematical approach for segmenting chromosome clusters in metaspread images",2022,"Experimental Cell Research","418","1","113251","","",,1,"10.1016/j.yexcr.2022.113251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132240069&doi=10.1016%2fj.yexcr.2022.113251&partnerID=40&md5=9f258bd1b6e513aed740bfea05e159d8",Article,"Final","",Scopus,2-s2.0-85132240069
"Hegde, S.S., Bose, R.S.C., Surendra, B.S., Vinoth, S., Murahari, P., Ramesh, K.","24587129900;56903756300;56641680200;58132291800;56454343900;55566989300;","SnS-Nanocatalyst: Malachite green degradation and electrochemical sensor studies",2022,"Materials Science and Engineering: B","283",,"115818","","",,11,"10.1016/j.mseb.2022.115818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131966770&doi=10.1016%2fj.mseb.2022.115818&partnerID=40&md5=af49a672f74d79aeea09ea980cc3d776",Article,"Final","",Scopus,2-s2.0-85131966770
"Koorapati, K., Pandu, R., Ramesh, P.K., Veeraswamy, S., Narasappa, U.","57189238308;57224907885;57216073534;57207928184;57224907909;","Towards a unified ontology for IoT fabric with SDDC",2022,"Journal of King Saud University - Computer and Information Sciences","34","8",,"6077","6091",,2,"10.1016/j.jksuci.2021.04.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108543692&doi=10.1016%2fj.jksuci.2021.04.015&partnerID=40&md5=8108479058727da8e579bdd93920c1f1",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85108543692
"Koppala, S., John, S.P., Balan, R., Lokesh, B., Munusamy, S., Karthikeyan, P., Godiya, C.B., Chandragiri, S.Y., Aminabhavi, T.M., Duan, K., Li, K., Xu, L., Xia, Y., Swamiappan, S.","55971800500;57682475700;57196740345;56199978700;55071592700;57192542460;53063766000;57681366100;36048422400;55651584600;57208446699;57191364010;57188625733;13410276900;","Glowing combustion synthesis, characterization and biomedical properties of Sr-hardystonite (Sr2ZnSi2O7) powders",2022,"Ceramics International","48","16",,"23649","23656",,4,"10.1016/j.ceramint.2022.05.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129970783&doi=10.1016%2fj.ceramint.2022.05.013&partnerID=40&md5=b7d250d853025fb0c2e1bae4faa44edb",Article,"Final","",Scopus,2-s2.0-85129970783
"Sharma, D., Sood, A.K., Darius, P.S.H., Gundabattini, E., Darius Gnanaraj, S., Joseph Jeyapaul, A.","57208874575;57778112200;35107140300;55443879600;57219237175;57777765400;","A Study on the Online-Offline and Blended Learning Methods",2022,"Journal of The Institution of Engineers (India): Series B","103","4",,"1373","1382",,6,"10.1007/s40031-022-00766-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133399096&doi=10.1007%2fs40031-022-00766-y&partnerID=40&md5=4cdb56b65694727a01ec67c61e7a4bbf",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85133399096
"Krishna Kumar, P., Komarasamy, C., Murugan, S.","57225916689;57221919291;57536177800;","Utilization of Cuttlebone as Filler in Hydrophobic Foam Mortar: A Technical and Economical Feasibility Study",2022,"Journal of Materials in Civil Engineering","34","8","04022191","","",,2,"10.1061/(ASCE)MT.1943-5533.0004335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131256563&doi=10.1061%2f%28ASCE%29MT.1943-5533.0004335&partnerID=40&md5=e0be89d79294ab2efc33a4c168a96e45",Article,"Final","",Scopus,2-s2.0-85131256563
"Muthuramalingam, L., Chandrasekaran, K., Xavier, F.J.","56379773900;57214039358;57762439000;","Electrical parameter computation of various photovoltaic models using an enhanced jumping spider optimization with chaotic drifts",2022,"Journal of Computational Electronics","21","4",,"905","941",,8,"10.1007/s10825-022-01891-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130797320&doi=10.1007%2fs10825-022-01891-z&partnerID=40&md5=e5665a80fda0ed835c58e12e009a978a",Article,"Final","",Scopus,2-s2.0-85130797320
"Ruben, J.S., Sophia, M., Raja, M.A.","56656458300;57202451686;57458829500;","Mechanical and Durability Properties of Self Compacting Concrete Containing Treated Recycled Coarse Aggregates and Acetic Acid-Metakaolin Slurry",2022,"Iranian Journal of Science and Technology - Transactions of Civil Engineering","46","4",,"2933","2959",,3,"10.1007/s40996-022-00841-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124899645&doi=10.1007%2fs40996-022-00841-w&partnerID=40&md5=4b5cedcf45148fb85966661413077794",Article,"Final","",Scopus,2-s2.0-85124899645
"Kanthimathi, S., Prathuri, J.R.","57205441761;57219484622;","A novel congestion control approach for optimal routing in Wireless Adhoc Networks",2022,"International Journal of Communication Systems","35","10","e5151","","",,1,"10.1002/dac.5151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126851231&doi=10.1002%2fdac.5151&partnerID=40&md5=8afae1d124e8e46c9908f495098b620e",Article,"Final","",Scopus,2-s2.0-85126851231
"Roogi, J.M., Devi, M.","57205613780;58297342400;","Pre-current amplifier based transimpedance amplifier for biosensors",2022,"International Journal of Reconfigurable and Embedded Systems","11","2",,"188","195",,,"10.11591/ijres.v11.i2.pp188-195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132592560&doi=10.11591%2fijres.v11.i2.pp188-195&partnerID=40&md5=3499c3b17aecdb9303f73163033836dc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85132592560
"Baligidad, S.M., Chethan Kumar, G., Maharudresh, A.C., Lekshmi, I.C., Rajasree, S., Pillai, R.","57201502719;57552590000;57218354926;55666220400;57704864200;57215376427;","Investigation on strain rate sensitivity of 3D printed sPEEK-HAP/rGO composites",2022,"Journal of Manufacturing Processes","79",,,"789","802",,5,"10.1016/j.jmapro.2022.05.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130553316&doi=10.1016%2fj.jmapro.2022.05.025&partnerID=40&md5=67d901a9fb1218dce600f42bf10fb061",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85130553316
"Duan, K., Que, T., Koppala, S., Balan, R., Lokesh, B., Pillai, R., David, S., Karthikeyan, P., Ramamoorthy, S., Lekshmi, I.C., Kemacheevakul, P., Padmavathy, N., Munusamy, S.","55651584600;57767511300;55971800500;57196740345;56199978700;57215376427;7202342949;57192542460;57548863700;55666220400;41261968600;6505523402;55071592700;","A facile route to synthesize n-SnO2/p-CuFe2O4 to rapidly degrade toxic methylene blue dye under natural sunlight",2022,"RSC Advances","12","26",,"16544","16553",,13,"10.1039/d2ra01690g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133003513&doi=10.1039%2fd2ra01690g&partnerID=40&md5=09a612e09d505f689add65e1110c50c4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85133003513
"Jha, M.K., Kumar, N., Lakshmi, Y.V.S.","56943012600;56461554800;23974591000;","Transmission Techniques for Multi User MIMO VLC Systems Using Flip-OFDM",2022,"Journal of Communications","17","6",,"452","462",,7,"10.12720/jcm.17.6.452-462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131329901&doi=10.12720%2fjcm.17.6.452-462&partnerID=40&md5=845efc44e10aa2577abc34d9f57b1853",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85131329901
"Alagarasan, D., Hegde, S.S., Varadharajaperumal, S., Aadhavan, R., Naik, R., Shkir, M., Algarni, H., Ganesan, R.","57211167393;24587129900;55260184900;56588013800;58121215900;55212225100;55531579200;57950654600;","Effect of SnS thin film thickness on visible light photo detection",2022,"Physica Scripta","97","6","065814","","",,11,"10.1088/1402-4896/ac6d19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130786979&doi=10.1088%2f1402-4896%2fac6d19&partnerID=40&md5=344d2657bf10d1c3f9a033cfb6543391",Article,"Final","",Scopus,2-s2.0-85130786979
"Fatimah, B., Aggarwal, P., Singh, P., Gupta, A.","35177377800;57205698226;57216534266;53872683100;","A comparative study for predictive monitoring of COVID-19 pandemic",2022,"Applied Soft Computing","122",,"108806","","",,4,"10.1016/j.asoc.2022.108806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128270381&doi=10.1016%2fj.asoc.2022.108806&partnerID=40&md5=bc04a77516624a954b0a60a278830f92",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85128270381
"Preetha, S., Pillai, R., Ramamoorthy, S., Mayeen, A., Archana, K.M., Kalarikkal, N., Narasimhamurthy, B., Lekshmi, I.C.","57475820700;57215376427;57548863700;57196018734;57474884800;36773183900;57216839479;55666220400;","TiO2–rGO nanocomposites with high rGO content and luminescence quenching through green redox synthesis",2022,"Surfaces and Interfaces","30",,"101812","","",,7,"10.1016/j.surfin.2022.101812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125634004&doi=10.1016%2fj.surfin.2022.101812&partnerID=40&md5=1d0ef6304362b52dbf457ef477d53f08",Article,"Final","",Scopus,2-s2.0-85125634004
"Bradha, M., Balakrishnan, N., Suvitha, A., Arumanayagam, T., Rekha, M., Vivek, P., Ajay, P., Sangeetha, V., Steephen, A.","56336979900;57205144978;57218331018;41560983600;57210397179;55489394300;57219550355;57258480000;57226829140;","Experimental, computational analysis of Butein and Lanceoletin for natural dye-sensitized solar cells and stabilizing efficiency by IoT",2022,"Environment, Development and Sustainability","24","6",,"8807","8822",,97,"10.1007/s10668-021-01810-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114896359&doi=10.1007%2fs10668-021-01810-5&partnerID=40&md5=ee2fa1a73fd60ea122776dacd09b4ff5",Article,"Final","",Scopus,2-s2.0-85114896359
"Kasireddy, I., Nasir, A.W., Reddy, R.S.K., Veeraiah","57196345021;56425550000;57221097887;57235998600;","Determination of stable zones of LFC for a power system considering communication delay",2022,"AIP Conference Proceedings","2418",,"040014","","",,1,"10.1063/5.0081986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131898107&doi=10.1063%2f5.0081986&partnerID=40&md5=71c7e94de16063f519446253eafbc27e",Conference Paper,"Final","",Scopus,2-s2.0-85131898107
"Durgadevi, R., Suvitha, A., Steephen, A., Arumanayagam, T.","57219057136;57218331018;57226829140;41560983600;","An organic hexamine p-nitrophenol crystal: Growth, optical, electrical, mechanical and density functional theoretical studies for nonlinear optical applications",2022,"Optical Materials","127",,"112280","","",,7,"10.1016/j.optmat.2022.112280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127864478&doi=10.1016%2fj.optmat.2022.112280&partnerID=40&md5=87c30e3e448233a58946bc4ae9805629",Article,"Final","",Scopus,2-s2.0-85127864478
"Aggarwal, P., Mishra, N.K., Fatimah, B., Singh, P., Gupta, A., Joshi, S.D.","57205698226;57209979712;35177377800;57216534266;53872683100;56269886400;","COVID-19 image classification using deep learning: Advances, challenges and opportunities",2022,"Computers in Biology and Medicine","144",,"105350","","",,59,"10.1016/j.compbiomed.2022.105350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126395955&doi=10.1016%2fj.compbiomed.2022.105350&partnerID=40&md5=e172d916ac4c6e3046e1643ba86951d9",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85126395955
"Bhimireddi, R., Prashanth Sadhu, S.P., Dhavala, L., Shet, T., Kundu, S., Ansari, A.A., Manthrammel, M.A., AlFaify, S.","54896336200;57372279000;57442952400;57189626411;55793190540;18436160600;56375774700;57194064181;","Concomitant structural and ferroelectric properties of Sr2Bi4Ti5O18 ceramics sintered with (K0.41Na0.53Li0.06)(Nb0.89Sb0.06Ta0.05)O3 perovskite",2022,"Journal of Solid State Chemistry","309",,"122959","","",,4,"10.1016/j.jssc.2022.122959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124233120&doi=10.1016%2fj.jssc.2022.122959&partnerID=40&md5=47d5a062940eaa2299bcaa3b7662bf0a",Article,"Final","",Scopus,2-s2.0-85124233120
"Mythily, M., Saha, S., Selvam, S., Swamidason, I.T.J.","49361603000;57202362175;57756148400;57742545100;","BPM supported model generation by contemplating key elements of information security",2022,"Automated Software Engineering","29","1","23","","",,1,"10.1007/s10515-022-00321-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124005875&doi=10.1007%2fs10515-022-00321-5&partnerID=40&md5=d7cc46d1b89f36be4d7ddec97e15cb97",Article,"Final","",Scopus,2-s2.0-85124005875
"Anand, D., Wagh, R.","36469804900;57202498808;","Effective deep learning approaches for summarization of legal texts",2022,"Journal of King Saud University - Computer and Information Sciences","34","5",,"2141","2150",,31,"10.1016/j.jksuci.2019.11.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077156009&doi=10.1016%2fj.jksuci.2019.11.015&partnerID=40&md5=63bde114c0036033aba42ea3e1307008",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85077156009
"Vaandrager, F., Midya, A.","6701396047;57213494740;","A Myhill-Nerode theorem for register automata and symbolic trace languages",2022,"Theoretical Computer Science","912",,,"37","55",,2,"10.1016/j.tcs.2022.01.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123572065&doi=10.1016%2fj.tcs.2022.01.015&partnerID=40&md5=387310d5a42362aefffa797d94c761d4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123572065
"Jose, J., Abdul Haseeb, K., Jose, A., Shifali, S., Thomas, S.P., Nayak, P.","56330314800;57722459500;57216203398;57722780700;57704363000;57723093700;","The Benefits and Barriers of Patenting: How Academicians and Researchers Can use their IP to Improve Research Outcomes: An Indian Perspective",2022,"Indian Journal of Pharmaceutical Education and Research","56","2",,"S137","S145",,1,"10.5530/ijper.56.2s.84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131197378&doi=10.5530%2fijper.56.2s.84&partnerID=40&md5=e86db842c3957ddad3ddbf595ffdaf7c",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85131197378
"Narayana, S.K., Hosur, N.T.","57483187400;57484029700;","Priority Based Trust Efficient Routing Using Ant Colony Optimization for IoT-based Mobile Wireless Mesh Networks",2022,"International Journal of Intelligent Engineering and Systems","15","2",,"99","106",,6,"10.22266/ijies2022.0430.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126152127&doi=10.22266%2fijies2022.0430.10&partnerID=40&md5=ddb7597e6854ad8d82231404217ddb38",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85126152127
"Karthikeyan, V., Tiwari, A.K., Vedi, A., Devaraju, B.","57222118600;58324538900;57372449700;55967021500;","Input-output linearization of DC-DC converter with discrete sliding mode fuzzy control strategy",2022,"International Journal of Electrical and Computer Engineering","12","2",,"1223","1232",,4,"10.11591/ijece.v12i2.pp1223-1232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122793408&doi=10.11591%2fijece.v12i2.pp1223-1232&partnerID=40&md5=d749a5a88b96432041a547dac2b96cdf",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122793408
"Dar, S.Z.N.","57195723913;","Ultra battery application for adaptive model predictive control in wind penetrated power systems",2022,"Wind Engineering","46","2",,"361","375",,1,"10.1177/0309524X211028662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109419912&doi=10.1177%2f0309524X211028662&partnerID=40&md5=27891b8afeefd26378f1dfe8b338636b",Article,"Final","",Scopus,2-s2.0-85109419912
"Ramamoorthy, S., Das, S., Balan, R., Lekshmi, I.C.","57548863700;57209810762;57196740345;55666220400;","Tuning donor-acceptor strength through preferential binding in mesoporous ZrO2-TiO2 nanocomposite as mechanistic approach for enhanced photocatalytic degradation of Alizarin Yellow GG dye",2022,"Journal of Alloys and Compounds","898",,"162769","","",,8,"10.1016/j.jallcom.2021.162769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120449077&doi=10.1016%2fj.jallcom.2021.162769&partnerID=40&md5=e16e754d9e23ced21b9cec4e8d1d7c39",Article,"Final","",Scopus,2-s2.0-85120449077
"Durgadevi, R., Suvitha, A., Arumanayagam, T.","57219057136;57218331018;41560983600;","Growth, optical, electrical properties and DFT studies on piperidinium 4-nitrophenolate NLO single crystal in acetone",2022,"Journal of Crystal Growth","582",,"126512","","",,13,"10.1016/j.jcrysgro.2021.126512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122638685&doi=10.1016%2fj.jcrysgro.2021.126512&partnerID=40&md5=439c351dfe25752c0ed534373bf5ddc3",Article,"Final","",Scopus,2-s2.0-85122638685
"Alagarasan, D., Hegde, S.S., Varadharajaperumal, S., Arun Kumar, K.D., Naik, R., Panjalingam, S.P., Massoud, E.E.S., Ganesan, R.","57211167393;24587129900;55260184900;57200517580;57373211200;57273226400;57214790394;57950654600;","Effect of annealing temperature on SnS thin films for photodetector applications",2022,"Journal of Materials Science: Materials in Electronics","33","8",,"4794","4805",,15,"10.1007/s10854-021-07668-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122652736&doi=10.1007%2fs10854-021-07668-7&partnerID=40&md5=e1cafc5f0ebe1d2686f916df453717ee",Article,"Final","",Scopus,2-s2.0-85122652736
"Sundararajan, G., Perumalsamy, D.","56720205400;57217177248;","Proactive Routing Mechanism for Removing Far Sensor in IoT using A Design of B * Index",2022,"International Journal of Sensors, Wireless Communications and Control","12","2",,"132","141",,1,"10.2174/2210327911999210111231213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126628971&doi=10.2174%2f2210327911999210111231213&partnerID=40&md5=80d733dcbbeb7e492168d041998b3f0b",Article,"Final","",Scopus,2-s2.0-85126628971
"Ghosh, A., Jain, A., Sarkar, S.K.","57216832563;56404950700;55680682800;","The design and performance of different nanoelectronic binary multipliers",2022,"Journal of Computational Electronics","21","1",,"334","347",,,"10.1007/s10825-021-01821-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119291714&doi=10.1007%2fs10825-021-01821-5&partnerID=40&md5=bd59ec51c8e8d20fa49bf09164eb0efa",Article,"Final","",Scopus,2-s2.0-85119291714
"Eswaran, S., Rani, V., Daniel, D., Ramakrishnan, J., Selvakumar, S.","57193857384;57211290050;36536799700;57210390182;57213299035;","An enhanced network intrusion detection system for malicious crawler detection and security event correlations in ubiquitous banking infrastructure",2022,"International Journal of Pervasive Computing and Communications","18","1",,"59","78",,4,"10.1108/IJPCC-04-2021-0102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114252266&doi=10.1108%2fIJPCC-04-2021-0102&partnerID=40&md5=83ba9256c6868ea550688b412c8096aa",Article,"Final","",Scopus,2-s2.0-85114252266
"Suvitha, A., Maharani, N.Y., Abdullah, H.Y., Ananth, S., Vivek, P.","57218331018;57079137400;38360953100;55342464300;55489394300;","Experimental and Theoretical Analysis for the Structural, FT-IR, NLO, NBO and RDG Properties of Lindane Using DFT Technique",2022,"AIP Conference Proceedings","2554",,"050001","","",,2,"10.1063/5.0103733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147264845&doi=10.1063%2f5.0103733&partnerID=40&md5=82ace2c863306b41c5c724a409929bad",Conference Paper,"Final","",Scopus,2-s2.0-85147264845
"Aswini, N., Uma, S.V., Akhilesh, V.","57091672000;26656380600;57454645400;","Drone to Obstacle Distance Estimation Using YOLO V3 Network and Mathematical Principles",2022,"Journal of Physics: Conference Series","2161","1","012022","","",,4,"10.1088/1742-6596/2161/1/012022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124698735&doi=10.1088%2f1742-6596%2f2161%2f1%2f012022&partnerID=40&md5=9de6acd65c0b5901cfcecdf9f46962d7",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85124698735
"Chithambarathanu, M., Professor, G.D.R.","57225063907;57205057982;","Data Clustering using Genomic Analysis in Graph model",2022,"Journal of Physics: Conference Series","2161","1","012029","","",,,"10.1088/1742-6596/2161/1/012029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124697548&doi=10.1088%2f1742-6596%2f2161%2f1%2f012029&partnerID=40&md5=4b4ad6e92799d89bb8539f2c02754fe5",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85124697548
"Sumitra Devi, M.R., Girisha, A.","57222173293;57218921447;","Hamiltonian Laceability in Book Graphs",2022,"Journal of Physics: Conference Series","2161","1","012032","","",,,"10.1088/1742-6596/2161/1/012032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124692326&doi=10.1088%2f1742-6596%2f2161%2f1%2f012032&partnerID=40&md5=afb0f8dba5dedc1e2aef86d9c330dbfb",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85124692326
"Anguraj, D.K., Balasubramaniyan, S., Saravana Kumar, E., Vakula Rani, J., Ashwin, M.","57204059901;57088915900;55761372000;57211290050;57191750955;","Internet of things (IoT)-based unmanned intelligent street light using renewable energy",2022,"International Journal of Intelligent Unmanned Systems","10","1",,"34","47",,2,"10.1108/IJIUS-10-2020-0060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099419460&doi=10.1108%2fIJIUS-10-2020-0060&partnerID=40&md5=a10d8008c6c683e27689876d62e55097",Article,"Final","",Scopus,2-s2.0-85099419460
"Mondal, S., Gupta, P., Rahaman, F., Gautam, P., Lekshmi, I.C.","57211114576;57231970400;24367290400;55081277800;55666220400;","Colorimetric and fluorimetric detection of fluoride ion using thiazole derived receptor",2022,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","264",,"120301","","",,9,"10.1016/j.saa.2021.120301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113478368&doi=10.1016%2fj.saa.2021.120301&partnerID=40&md5=fcc7043f91f09668a47ada8c1a396027",Article,"Final","",Scopus,2-s2.0-85113478368
"Sophia, M., Shivakumar, G.S.","57202451686;58868646600;","SUSTAINABLE CONVERSION OF WASTE SEASHELL TO PARTIAL REPLACEMENT OF AGGREGATES IN CEMENT MORTAR: A REVIEW",2022,"ZEMCH International Conference",,,,"699","703",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184329555&partnerID=40&md5=5542d942893259cf73386bb4d2d1807b",Conference Paper,"Final","",Scopus,2-s2.0-85184329555
"Welwin, P.A., Hubli, M.J., Patil, P.B., Sangeetha, R., Pillai, R., Roy, S., Hegde, S.S., Hatti, P.S., Lekshmi, I.C.","58452893900;58451489200;58453591200;58580482700;57215376427;35086725900;24587129900;57215561048;55666220400;","Cu-Al OXIDE NANOCOMPOSITE-BASED EXTERNAL FILTERS FOR GAS PURIFICATION FROM PETROL AUTOMOBILE EXHAUST",2022,"Composites: Mechanics, Computations, Applications","13","3",,"43","53",,,"10.1615/CompMechComputApplIntJ.2022043313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163971101&doi=10.1615%2fCompMechComputApplIntJ.2022043313&partnerID=40&md5=9b3f14f37f2df82efa6fdeeeb2cb0cd3",Article,"Final","",Scopus,2-s2.0-85163971101
"Singh, S.K., Parihar, S.S., Sharma, N., Singh, P., Tijare, P.V.","58596066700;58361522500;58363411700;57223019615;57188988126;","A Comparison of the Effectiveness of Dominant ML Algorithms for Predicting the Prognosis of Brain Tumors",2022,"2022 IEEE North Karnataka Subsection Flagship International Conference, NKCon 2022",,,,"","",,,"10.1109/NKCon56289.2022.10126843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163101802&doi=10.1109%2fNKCon56289.2022.10126843&partnerID=40&md5=d76500b4707c8c2638f920ea53020a32",Conference Paper,"Final","",Scopus,2-s2.0-85163101802
"Saha, S.","57202362175;","Crash Recovery and Accident Prediction Using a IoT Based Blackbox System",2022,"2022 IEEE North Karnataka Subsection Flagship International Conference, NKCon 2022",,,,"","",,1,"10.1109/NKCon56289.2022.10127044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163077567&doi=10.1109%2fNKCon56289.2022.10127044&partnerID=40&md5=929706025b4a7c9ec497a280898d5620",Conference Paper,"Final","",Scopus,2-s2.0-85163077567
"Nithara, P.V., Chithra, M., Eldho, R.P., Michail, S.","57210955313;58107515200;57210956903;58309143500;","Review on Role of Power Electronics in Integration of Renewable Energy Sources with Micro grid",2022,"Proceedings - 2022 International Conference on Smart and Sustainable Technologies in Energy and Power Sectors, SSTEPS 2022",,,,"27","32",,,"10.1109/SSTEPS57475.2022.00021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161468013&doi=10.1109%2fSSTEPS57475.2022.00021&partnerID=40&md5=c6196a82492380e5d2914d0f02ace8dd",Conference Paper,"Final","",Scopus,2-s2.0-85161468013
"Chithra, M., Chaithanya, S.","58107515200;57222128216;","Modelling and Harmonic Analysis of Symmetrical / Asymmetrical CHB Multilevel Inverters with PV arrays",2022,"Proceedings - 2022 International Conference on Smart and Sustainable Technologies in Energy and Power Sectors, SSTEPS 2022",,,,"17","22",,,"10.1109/SSTEPS57475.2022.00019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161377458&doi=10.1109%2fSSTEPS57475.2022.00019&partnerID=40&md5=8f6c3f2930c959f3d99b3ffd5177c74d",Conference Paper,"Final","",Scopus,2-s2.0-85161377458
"Khan, M.S., Chinnaiyan, R., Balachandar, S., Ibrahim, S.J.A., Chakravarthy, N.S.K., Kalaiarasan, C., Divya, R.","58222906800;35309537200;57216361842;57198098842;56446869800;24473351000;57511498300;","Centralized Digital Twin driven Supply Chain for Sustainable Smart Manufacturing Plants",2022,"Proceedings - 2022 International Conference on Computational Modelling, Simulation and Optimization, ICCMSO 2022",,,,"370","373",,,"10.1109/ICCMSO58359.2022.00077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156241809&doi=10.1109%2fICCMSO58359.2022.00077&partnerID=40&md5=4d1e1199a92b26043d644e434c4bf0e8",Conference Paper,"Final","",Scopus,2-s2.0-85156241809
